AVar1;AVar2;AVar3;AVar4;AVar5;BVar1;BVar2;BVar3;BVar4;BVar5;CVar1;CVar2;CVar3;CVar4;CVar5;DVar1;DVar2;DVar3;DVar4;DVar5;A;B;C;D;contVar1;contVar2;contVar3;contVar4;contVar5;wokr_ex;bin1;bin2;age;indVar1;indVar2;inCVar3;proba
4;5;4;4;4;2;4;3;3;3;2;4;5;4;4;4;4;1;4;4;4;3;4;4;63;39;48;28;435;29;0;0;45-54;1;Nie;A;B
4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;57;29;42;22;359;6;1;1;35-44;1;Nie;A;B
2;1;3;2;4;2;4;2;3;1;3;3;2;3;2;2;4;4;2;1;2;2;3;2;141;68;112;34;703;32;1;0;55-64;1;Tak;B;C
5;5;5;5;4;3;4;5;4;4;4;4;5;4;5;3;5;3;5;5;5;4;4;5;71;46;35;40;339;18;0;0;45-54;2;Tak;A;B
2;4;4;4;4;4;5;5;4;4;4;2;4;4;2;2;4;4;5;5;4;4;4;4;88;68;57;47;618;12;1;0;45-54;1;Tak;A;B
4;5;5;5;5;4;4;5;4;4;5;2;3;3;3;4;5;5;5;5;5;4;3;5;51;27;32;25;270;29;1;0;45-54;1;Nie;A;B
4;4;4;4;4;4;4;4;4;3;3;3;4;4;3;4;4;3;3;4;4;4;3;4;81;48;70;34;495;16;1;0;35-44;1;Nie;C;C
5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;5;5;5;125;76;60;60;558;28;0;0;45-54;1;Nie;A;C
5;5;5;4;5;5;5;5;5;5;4;5;5;5;5;4;4;2;5;4;5;5;5;4;87;74;66;38;568;12;1;0;35-44;2;Nie;C;D
1;1;4;1;1;1;1;2;1;1;3;1;5;2;3;1;3;5;1;1;1;1;3;1;49;25;36;18;257;35;0;0;55-64;1;Nie;B;D
4;5;4;5;4;4;4;4;4;4;4;3;4;4;4;4;5;4;5;5;4;4;4;5;49;30;41;26;364;13;1;0;35-44;2;Nie;A;C
4;4;4;5;4;4;4;4;4;4;3;3;4;3;3;4;5;4;4;3;4;4;3;4;49;31;41;25;345;10;1;0;35-44;1;Nie;A;A
5;4;5;5;5;5;5;5;5;5;2;4;4;4;2;5;4;3;5;5;5;5;4;5;53;25;37;20;249;1;1;1;25-34;2;Nie;A;C
2;2;2;4;3;4;4;4;3;3;3;2;2;2;2;3;3;2;2;2;2;4;2;2;142;86;96;61;650;20;0;0;35-44;2;Nie;B;B
4;4;4;4;4;5;5;5;4;4;3;4;4;4;3;4;4;1;3;3;4;5;4;3;120;66;73;56;582;35;0;0;55-64;2;Nie;C;C
4;4;2;1;3;4;4;5;4;3;3;1;1;1;1;2;2;3;2;2;3;4;1;2;90;77;86;50;667;9;0;0;45-54;2;Nie;B;C
4;4;4;4;4;4;4;5;4;4;3;3;5;3;3;4;4;4;5;5;4;4;3;4;62;33;40;31;376;25;1;0;45-54;2;Tak;A;D
4;2;4;2;2;4;4;4;5;4;3;4;1;3;1;4;4;3;4;4;2;4;3;4;62;36;47;27;318;7;0;1;35-44;2;Nie;C;D
5;4;5;4;4;2;4;5;4;4;3;1;3;3;3;2;4;3;1;1;4;4;3;2;80;33;61;16;356;3;1;1;35-44;1;Nie;B;C
5;5;4;5;5;5;5;5;4;4;5;5;5;5;4;4;5;5;4;5;5;5;5;5;70;35;49;24;375;20;0;1;65+;1;Nie;A;C
4;4;4;2;4;4;4;4;4;3;3;4;4;4;3;4;3;4;4;4;4;4;4;4;75;56;49;21;450;30;1;0;55-64;1;Tak;C;C
4;3;4;4;3;5;5;5;5;5;3;1;2;3;1;3;3;4;3;3;4;5;2;3;186;97;127;69;794;9;1;0;25-34;2;Nie;C;B
5;5;5;5;4;5;4;4;3;4;4;3;4;4;3;4;5;4;5;4;5;4;4;4;87;62;66;66;637;27;0;0;45-54;1;Nie;A;A
4;4;4;4;4;2;4;4;4;3;4;4;4;4;4;3;4;4;4;4;4;4;4;4;84;52;50;43;476;30;1;1;55-64;1;Tak;A;C
5;5;5;5;5;5;5;5;5;5;3;3;4;3;3;5;5;3;4;5;5;5;3;5;103;65;72;31;507;38;0;0;55-64;1;Nie;A;A
5;5;5;5;5;4;5;5;4;4;4;2;5;5;1;5;5;3;4;3;5;4;4;4;169;103;110;60;755;20;0;0;45-54;1;Tak;C;C
1;1;1;5;4;4;5;5;4;3;2;3;4;4;2;4;1;2;3;4;1;4;3;3;126;79;102;58;720;10;0;0;35-44;2;Nie;C;B
2;2;4;4;4;4;5;5;4;4;3;3;4;3;2;4;3;4;4;4;4;4;3;4;74;58;59;32;520;8;0;0;35-44;2;Nie;C;C
4;3;4;4;4;4;4;5;3;4;4;2;4;4;2;4;4;5;4;5;4;4;4;4;123;59;82;33;574;14;0;0;35-44;2;Nie;C;C
5;4;4;5;5;5;5;5;5;4;3;5;5;5;5;4;5;4;5;5;5;5;5;5;94;55;105;71;689;20;1;0;45-54;2;Nie;A;D
5;5;4;4;5;4;5;5;5;4;5;3;4;4;3;3;4;2;2;2;5;5;4;2;74;50;57;27;510;1;1;0;25-34;1;Nie;A;C
4;4;4;4;4;4;4;4;3;4;4;3;4;3;3;4;4;3;5;4;4;4;3;4;87;72;100;61;661;10;0;0;25-34;1;Nie;C;A
