AVar1;AVar2;AVar3;AVar4;AVar5;BVar1;BVar2;BVar3;BVar4;BVar5;CVar1;CVar2;CVar3;CVar4;CVar5;DVar1;DVar2;DVar3;DVar4;DVar5;A;B;C;D;contVar1;contVar2;contVar3;contVar4;contVar5;wokr_ex;bin1;bin2;age;indVar1;indVar2;inCVar3;proba
1;2;1;3;3;4;4;4;4;3;3;3;2;3;3;1;2;4;4;3;2;4;3;3;63;61;42;40;474;12;0;1;35-44;2;Nie;B;B
4;4;4;4;5;5;5;5;5;5;4;3;5;4;3;4;4;4;4;3;4;5;4;4;104;53;93;31;602;8;1;0;35-44;2;Nie;C;A
4;4;5;5;5;5;5;5;5;5;1;1;3;2;2;5;5;1;2;2;5;5;2;2;69;37;47;18;340;8;1;1;35-44;2;Nie;B;C
5;5;5;5;3;3;4;3;4;4;5;5;5;5;5;4;5;5;5;5;5;4;5;5;73;52;84;53;490;10;0;1;65+;2;Nie;A;B
4;4;4;4;4;3;4;4;4;4;4;4;4;4;3;4;5;5;4;4;4;4;4;4;117;79;70;41;570;6;1;0;25-34;2;Nie;A;C
4;4;4;4;3;4;5;5;4;4;3;3;4;5;4;4;3;5;4;3;4;4;4;4;48;26;37;15;242;3;0;1;25-34;1;Nie;C;C
4;4;4;3;5;5;4;5;5;5;5;5;5;5;5;1;4;5;1;1;4;5;5;1;55;38;38;23;304;19;0;0;35-44;2;Nie;A;C
4;4;4;5;4;4;4;5;4;4;2;3;5;4;2;2;5;2;5;5;4;4;3;5;103;42;75;36;454;6;0;0;25-34;2;Nie;C;D
2;4;4;4;5;4;5;5;5;5;3;3;5;3;2;2;3;1;3;3;4;5;3;3;70;62;61;47;505;5;1;1;35-44;2;Nie;B;A
5;5;5;5;5;4;5;5;5;4;2;5;5;4;4;5;5;4;5;5;5;5;4;5;80;61;65;41;581;33;0;0;55-64;1;Nie;A;A
2;2;2;2;2;1;2;4;4;3;1;1;1;4;1;1;2;2;1;1;2;3;1;1;50;34;55;17;338;40;1;0;65+;1;Tak;B;C
4;3;3;4;4;4;4;4;3;2;4;4;4;3;3;3;3;3;5;4;4;4;4;3;112;68;82;71;585;40;1;0;55-64;1;Nie;C;A
4;5;3;4;3;5;5;5;3;3;3;3;5;3;4;2;4;2;2;2;4;5;3;2;177;103;96;73;909;10;1;0;35-44;2;Nie;C;D
4;4;4;4;4;4;4;4;2;2;3;4;4;4;3;2;4;4;3;2;4;4;4;3;82;60;62;33;472;35;1;0;55-64;1;Tak;A;A
5;4;5;5;5;5;5;5;4;4;3;5;5;5;4;5;5;3;5;5;5;5;5;5;61;23;39;19;298;21;0;1;45-54;2;Nie;A;C
5;4;2;3;3;3;3;2;2;5;4;5;4;3;3;3;3;4;5;4;3;3;4;4;73;67;58;46;473;12;0;1;18-24;2;Nie;A;B
4;4;4;4;3;5;5;5;3;5;3;1;1;1;1;2;4;3;5;4;4;5;1;4;111;87;84;60;801;1;0;0;25-34;2;Nie;C;C
4;5;5;4;4;4;4;4;4;3;3;3;4;4;2;4;4;1;4;4;4;4;3;4;79;38;52;39;509;32;0;0;55-64;1;Nie;C;D
4;4;4;4;5;5;5;5;4;4;4;3;4;4;3;4;4;4;4;4;4;5;4;4;76;42;46;32;426;5;1;0;25-34;1;Nie;C;D
2;4;3;3;3;4;4;5;4;3;3;3;4;3;3;3;4;4;3;4;3;4;3;4;61;42;51;32;408;14;0;1;35-44;1;Nie;C;C
5;5;5;5;5;5;5;5;5;4;4;3;5;5;3;5;5;4;1;1;5;5;4;4;127;81;91;86;824;36;0;0;55-64;1;Tak;A;B
2;4;4;4;3;4;4;4;4;3;2;4;4;4;3;4;4;3;3;2;4;4;4;3;111;66;50;66;574;6;0;0;25-34;2;Nie;C;A
1;3;2;2;2;4;2;3;2;1;3;3;2;3;4;3;2;3;2;4;2;2;3;3;53;42;39;27;442;27;0;0;45-54;2;Nie;B;C
5;4;5;3;5;1;4;2;4;2;4;2;4;4;4;3;5;4;2;3;5;2;4;3;46;33;37;19;310;47;0;0;65+;1;Nie;A;C
2;2;2;1;4;4;5;5;4;4;3;3;2;3;2;3;3;4;2;2;2;4;3;3;119;69;78;48;577;2;1;0;25-34;1;Nie;B;A
5;4;5;4;2;3;3;3;2;1;3;2;3;3;3;4;4;3;4;3;4;3;3;4;84;37;64;33;422;25;0;0;45-54;1;Nie;C;A
4;4;4;5;5;4;4;4;5;3;3;3;4;3;3;4;5;2;2;2;4;4;3;2;166;101;91;111;931;14;1;0;35-44;1;Nie;A;A
5;5;5;4;5;4;5;5;5;4;2;4;2;4;4;5;5;2;5;5;5;5;4;5;113;67;77;61;598;30;0;0;55-64;2;Nie;C;C
4;2;2;4;3;4;4;1;4;3;3;3;4;4;2;4;4;4;1;1;3;4;3;4;62;46;44;27;459;18;0;0;45-54;1;Tak;B;B
4;4;3;4;3;5;5;5;5;5;5;5;5;5;5;3;4;5;5;5;4;5;5;5;99;71;72;46;543;7;1;0;25-34;2;Nie;A;B
4;5;4;4;4;4;3;4;4;3;3;2;2;2;2;5;4;3;3;3;4;4;2;3;74;50;59;40;462;10;1;1;25-34;2;Nie;C;B
2;2;2;4;2;3;4;4;3;3;3;4;4;3;3;2;2;4;3;2;2;3;3;2;83;53;59;56;476;38;0;1;55-64;1;Tak;B;A
2;4;3;2;4;4;4;4;3;3;1;4;4;4;3;3;4;1;2;2;3;4;4;2;94;40;75;31;480;36;1;0;55-64;1;Nie;C;C
4;4;4;4;5;4;5;5;5;4;3;3;3;3;3;4;4;1;4;4;4;5;3;4;81;57;63;70;601;20;1;1;35-44;2;Nie;B;A
4;4;4;4;4;4;4;4;4;4;4;5;5;5;5;4;4;4;4;4;4;4;5;4;139;74;88;45;787;30;1;0;45-54;2;Tak;A;B
5;4;4;4;4;5;5;5;4;5;1;5;5;5;5;4;4;2;5;5;4;5;5;4;41;26;35;20;283;8;1;0;35-44;2;Nie;A;B
4;4;4;4;3;4;3;4;4;3;3;3;3;3;2;2;4;4;4;4;4;4;3;4;100;44;63;35;461;3;0;0;25-34;2;Nie;C;C
4;2;2;2;4;2;2;2;4;2;4;1;1;1;1;2;2;3;1;1;2;2;1;2;64;37;56;28;358;24;1;1;45-54;1;Nie;B;A
2;4;4;2;4;4;4;4;4;4;2;2;4;2;2;2;4;2;2;2;4;4;2;2;99;93;100;48;680;24;1;0;45-54;1;Nie;C;D
2;2;2;4;3;2;5;4;3;4;3;3;3;3;3;2;3;3;2;3;2;4;3;3;59;50;55;30;470;25;0;0;45-54;2;Nie;B;A
4;5;5;2;4;4;5;5;4;5;3;2;4;4;2;4;4;3;2;2;4;5;3;3;77;58;51;32;420;12;0;0;35-44;2;Nie;C;A
4;2;2;2;5;4;4;4;5;4;4;4;4;4;4;4;4;4;2;2;2;4;4;4;60;45;48;30;341;12;0;0;35-44;2;Nie;A;D
2;2;4;4;4;2;4;4;4;2;2;2;1;2;1;4;4;2;2;2;4;4;2;2;96;64;84;36;515;7;1;0;25-34;2;Tak;B;B
5;5;5;5;5;5;5;5;5;5;1;5;5;5;5;5;5;1;5;5;5;5;5;5;113;58;70;37;556;15;1;0;55-64;1;Nie;C;A
5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;70;45;48;25;382;20;1;1;45-54;1;Nie;A;A
4;2;4;4;4;4;4;4;4;2;2;3;2;3;2;2;2;1;1;1;4;4;2;1;72;57;57;38;485;5;1;0;25-34;1;Nie;B;C
5;5;5;4;4;5;5;5;4;3;3;4;4;4;4;4;4;4;5;5;5;5;4;4;63;46;62;26;390;12;1;0;35-44;1;Nie;A;C
4;2;4;4;4;4;4;4;4;3;1;1;1;1;1;2;4;4;3;3;4;4;1;3;79;42;61;24;409;8;0;0;25-34;2;Nie;B;B
4;4;4;4;3;2;4;3;4;2;1;1;2;2;1;4;4;2;3;3;4;3;1;3;111;77;82;51;569;12;1;0;35-44;2;Nie;B;A
4;4;4;4;4;4;4;4;4;3;3;4;4;4;4;3;3;1;4;4;4;4;4;3;86;54;60;58;515;25;1;1;45-54;1;Nie;C;A
4;4;4;4;3;4;4;4;2;4;4;2;4;2;3;2;3;2;2;2;4;4;3;2;77;56;62;24;509;7;1;0;25-34;2;Nie;B;C
5;5;4;4;4;5;5;5;3;3;4;3;3;3;3;4;4;3;5;3;4;5;3;4;94;37;47;35;425;6;1;0;25-34;1;Nie;C;C
4;4;4;4;4;4;4;4;4;3;2;3;3;4;3;4;4;4;2;2;4;4;3;4;77;61;60;50;596;19;1;1;35-44;2;Nie;C;C
4;5;4;3;4;4;4;5;4;3;1;2;2;3;2;4;4;1;4;3;4;4;2;4;79;38;57;29;383;6;1;1;35-44;1;Nie;B;B
2;3;5;4;3;4;3;5;4;4;4;2;4;4;3;4;4;3;4;5;3;4;4;4;129;65;84;72;656;30;0;0;55-64;1;Nie;C;C
5;5;4;5;5;4;5;5;5;4;3;3;3;4;3;4;5;3;5;5;5;5;3;5;85;47;79;27;500;30;1;0;45-54;2;Nie;C;A
1;3;1;1;2;3;4;4;1;4;3;1;1;4;2;1;1;3;4;4;1;4;2;3;51;35;39;19;286;8;0;0;25-34;2;Nie;B;B
4;5;5;5;5;4;5;5;5;4;4;4;5;4;4;4;5;4;4;2;5;5;4;4;91;49;70;42;441;22;1;0;45-54;1;Tak;A;C
5;4;5;5;5;5;5;5;5;4;2;3;3;3;3;3;4;3;3;2;5;5;3;3;75;61;56;45;598;11;1;1;35-44;2;Nie;C;B
5;4;4;5;3;4;5;5;4;4;2;3;3;3;3;4;4;3;4;3;4;4;3;4;55;37;31;36;374;10;1;0;35-44;2;Nie;C;C
4;4;2;5;5;5;4;5;5;4;1;2;2;2;2;5;5;1;4;4;4;5;2;4;168;112;119;111;1035;10;0;0;35-44;2;Nie;C;D
2;4;2;2;4;4;4;5;2;2;2;1;2;3;1;2;2;2;2;1;2;4;2;2;49;37;46;44;384;20;1;0;45-54;2;Nie;B;C
4;4;4;4;3;2;2;4;3;2;4;3;4;3;4;3;4;3;3;3;4;2;4;3;139;99;108;87;880;18;0;0;55-64;2;Nie;C;C
4;4;4;4;4;4;4;5;3;3;2;2;2;2;1;2;5;2;4;4;4;4;2;4;112;78;82;63;736;12;1;0;35-44;2;Nie;C;C
4;5;5;4;5;5;4;4;4;4;3;5;4;4;5;5;4;4;1;1;5;4;4;4;90;61;85;46;632;8;1;0;25-34;2;Nie;A;C
5;4;4;4;4;4;5;5;4;4;5;4;4;4;5;4;4;5;4;4;4;4;4;4;63;55;74;25;449;11;1;0;45-54;2;Nie;A;C
4;4;4;5;4;5;5;5;4;4;4;5;5;4;4;4;4;5;4;4;4;5;4;4;69;74;68;70;574;6;0;1;35-44;2;Tak;A;C
3;5;3;4;4;5;5;5;4;4;5;4;4;3;4;4;3;4;3;4;4;5;4;4;49;45;52;33;388;24;0;0;45-54;2;Nie;A;C
1;1;1;4;4;4;4;4;4;3;2;3;4;4;3;1;1;3;4;4;1;4;3;3;38;27;39;17;285;24;1;0;45-54;2;Nie;B;C
2;2;2;3;2;2;2;2;2;2;4;3;4;4;3;2;3;3;4;3;2;2;4;3;78;62;48;39;546;21;0;0;55-64;1;Nie;B;C
4;4;3;4;5;5;5;5;5;5;5;4;5;3;5;3;4;3;4;4;4;5;5;4;53;48;46;43;479;24;1;1;45-54;2;Nie;A;C
5;5;4;5;5;5;5;5;4;4;4;4;4;4;4;4;5;4;3;2;5;5;4;4;64;45;46;45;440;6;0;1;35-44;1;Nie;A;B
4;4;4;4;4;4;4;5;4;3;4;4;4;4;3;2;4;2;2;4;4;4;4;2;63;37;46;25;387;17;0;1;45-54;2;Nie;C;A
4;5;5;4;3;2;5;4;2;2;4;5;5;4;4;5;4;1;4;2;4;2;4;4;81;89;72;81;671;15;1;1;35-44;1;Tak;C;C
5;4;4;4;4;2;4;4;4;2;3;4;4;5;4;4;4;5;2;3;4;4;4;4;54;30;34;16;300;46;0;1;65+;1;Nie;C;B
4;4;4;5;4;5;5;4;4;4;2;3;2;4;2;4;5;2;2;2;4;4;2;2;53;27;36;15;356;30;1;0;55-64;2;Nie;C;B
5;5;5;5;5;5;5;4;5;4;4;4;5;4;3;4;4;5;4;4;5;5;4;4;45;33;41;13;264;32;0;0;55-64;1;Tak;A;D
4;4;5;4;2;4;5;4;4;3;4;4;4;4;4;4;4;5;3;3;4;4;4;4;82;44;53;24;425;6;1;0;25-34;1;Nie;C;D
5;5;4;5;4;4;4;5;4;4;4;4;4;3;4;4;4;4;4;3;5;4;4;4;66;37;40;28;360;16;1;1;35-44;2;Nie;C;B
5;2;3;4;4;4;5;5;4;4;3;1;1;1;1;2;2;3;5;5;4;4;1;3;69;41;59;43;446;2;0;0;25-34;2;Tak;C;A
4;4;4;2;4;2;4;4;4;2;3;1;1;3;1;3;2;1;1;1;4;4;1;1;65;54;58;56;473;33;1;1;55-64;1;Nie;B;C
2;2;1;2;4;4;4;4;4;2;1;2;4;2;1;2;2;1;2;2;2;4;2;2;83;51;55;47;427;30;1;0;55-64;1;Tak;B;D
4;2;1;2;4;1;1;2;2;1;4;2;2;2;2;2;3;5;1;1;2;1;2;2;108;60;77;36;500;30;1;0;45-54;2;Nie;B;D
2;1;1;1;1;4;4;2;2;2;1;3;2;2;2;1;1;1;2;1;1;2;2;1;98;72;113;66;734;20;1;0;45-54;2;Nie;B;D
4;3;2;2;1;1;2;1;2;1;4;3;3;3;3;2;2;3;2;2;2;1;3;2;79;47;74;48;483;40;0;0;65+;2;Nie;B;A
5;4;4;5;3;4;4;5;3;3;4;2;2;3;3;4;4;3;5;5;4;4;3;4;42;26;24;15;259;1;1;0;25-34;2;Nie;C;C
4;3;2;4;2;1;4;4;2;1;4;3;2;2;2;3;2;4;2;2;3;2;2;2;62;57;44;27;419;16;1;0;55-64;1;Nie;B;A
4;4;4;4;2;2;2;2;3;2;3;4;4;3;3;1;4;4;2;2;4;2;3;2;70;54;43;58;491;20;0;1;45-54;1;Nie;C;A
5;4;4;5;5;4;5;5;5;5;3;3;4;4;4;4;4;3;3;5;5;5;4;4;62;35;48;23;392;25;1;1;55-64;1;Nie;C;A
5;5;5;5;4;4;4;2;3;2;1;2;2;2;2;4;4;1;4;3;5;3;2;4;75;30;48;20;338;40;1;1;55-64;1;Nie;C;B
4;5;5;5;3;5;3;5;5;5;3;2;4;3;2;5;5;3;5;3;5;5;3;5;59;30;52;21;397;2;0;1;25-34;1;Nie;C;C
5;4;4;2;2;5;1;4;3;2;2;4;4;1;1;1;1;1;1;1;4;3;2;1;49;36;36;14;303;11;0;0;35-44;2;Nie;B;A
1;2;1;1;3;4;4;4;3;4;3;3;4;3;3;1;1;3;3;3;1;4;3;3;91;58;66;62;540;15;0;1;35-44;2;Nie;B;C
5;5;4;1;3;1;5;5;3;3;5;1;3;1;1;1;4;5;5;5;4;3;1;5;76;58;61;57;539;43;1;1;65+;1;Tak;C;B
4;4;4;4;4;5;5;4;4;5;5;5;5;5;5;4;4;4;5;5;4;5;5;4;61;43;34;55;426;12;0;1;35-44;2;Nie;A;D
2;1;1;3;2;4;4;5;3;4;3;5;5;5;5;1;3;5;2;3;2;4;5;3;78;53;33;49;420;13;0;1;35-44;2;Nie;A;C
4;5;4;4;4;4;4;4;3;2;3;4;5;3;2;4;3;3;3;3;4;4;3;3;59;50;55;30;470;35;1;0;55-64;1;Tak;A;A
5;5;4;3;3;4;2;4;5;4;4;3;4;3;2;2;3;4;2;2;4;4;3;2;77;58;51;32;420;18;1;0;35-44;1;Nie;B;D
1;1;1;1;3;4;3;1;2;3;4;2;3;4;3;2;1;3;2;1;1;3;3;2;60;45;48;30;341;20;0;0;45-54;2;Nie;B;C
5;4;4;5;4;2;2;4;4;4;3;5;5;5;5;5;5;2;5;5;4;4;5;5;96;64;84;36;515;24;1;0;45-54;2;Tak;A;A
4;4;3;3;4;2;3;4;4;3;2;3;3;3;3;2;3;2;3;3;4;3;3;3;113;58;70;37;556;44;0;0;65+;1;Tak;A;A
4;4;4;5;4;4;4;4;5;4;3;3;4;4;4;4;4;2;2;4;4;4;4;4;70;45;48;25;382;20;0;1;45-54;2;Nie;A;C
4;5;5;4;4;3;4;5;4;4;3;4;4;3;4;4;4;3;4;4;4;4;4;4;72;57;57;38;485;12;1;0;35-44;2;Nie;A;A
4;4;4;5;4;4;5;5;4;4;5;4;5;5;5;5;5;5;5;5;4;4;5;5;63;46;62;26;390;14;1;0;35-44;2;Nie;A;D
4;4;5;4;5;4;5;4;4;4;5;4;4;5;5;5;5;4;4;5;4;4;5;5;79;42;61;24;409;10;1;0;35-44;2;Nie;C;C
4;5;2;5;5;4;5;4;4;4;3;5;5;3;4;5;5;2;5;4;5;4;4;5;111;77;82;51;569;24;0;0;55-64;1;Nie;A;D
4;4;4;5;2;4;4;4;3;2;5;5;5;5;4;2;4;5;5;5;4;4;5;5;86;54;60;58;515;35;1;1;55-64;1;Tak;C;B
4;4;4;4;4;4;3;4;2;2;3;3;4;3;3;4;4;4;2;2;4;3;3;4;77;56;62;24;509;16;1;0;35-44;2;Nie;A;D
5;4;2;5;4;5;5;5;4;4;4;4;4;3;3;5;5;4;2;3;4;5;4;4;94;37;47;35;425;6;1;0;25-34;1;Nie;B;D
2;4;2;2;3;2;2;4;4;2;3;4;3;3;3;2;4;3;3;3;2;2;3;3;77;61;60;50;596;36;1;1;55-64;1;Nie;A;B
4;4;4;4;3;4;4;3;3;4;3;4;4;4;4;4;4;3;3;3;4;4;4;3;79;38;57;29;383;15;0;1;35-44;2;Nie;B;B
4;4;4;4;4;1;4;2;2;1;2;3;2;4;2;2;4;2;4;3;4;2;2;3;129;65;84;72;656;34;1;0;55-64;2;Nie;B;B
2;2;2;2;2;2;4;4;1;2;4;3;4;2;2;2;2;4;2;2;2;2;3;2;85;47;79;27;500;35;0;0;65+;1;Nie;B;D
4;4;4;4;4;4;4;4;4;2;4;2;4;2;2;4;4;4;2;2;4;4;2;4;51;35;39;19;286;6;1;0;35-44;2;Nie;B;A
4;4;4;3;4;5;5;5;5;4;1;1;1;2;1;3;3;4;2;2;4;5;1;3;91;49;70;42;441;18;1;0;45-54;1;Nie;B;D
4;4;4;4;4;2;4;4;4;2;3;2;4;3;2;4;4;2;4;4;4;4;3;4;75;61;56;45;598;17;1;1;35-44;2;Nie;B;D
4;4;4;4;4;4;4;4;4;4;5;3;4;3;3;4;4;4;4;4;4;4;3;4;55;37;31;36;374;7;1;0;35-44;2;Tak;A;C
2;2;2;4;3;5;5;5;3;5;4;4;4;3;5;5;4;4;2;1;2;5;4;4;168;112;119;111;1035;6;0;0;25-34;2;Tak;A;B
2;2;3;4;4;4;4;4;4;4;4;2;4;3;3;4;4;3;1;1;3;4;3;3;49;37;46;44;384;5;0;0;25-34;2;Nie;B;A
2;2;4;5;3;4;4;4;4;3;4;2;3;3;2;2;4;4;4;4;3;4;3;4;139;99;108;87;880;29;0;0;45-54;1;Nie;B;C
5;5;5;5;5;4;4;5;5;5;4;4;4;4;3;5;5;4;5;5;5;5;4;5;112;78;82;63;736;1;1;0;25-34;1;Tak;A;D
4;4;4;4;4;4;2;3;2;2;2;2;4;4;2;2;4;4;2;2;4;2;2;2;90;61;85;46;632;20;0;0;35-44;2;Tak;A;C
4;4;4;4;3;5;4;4;3;4;2;2;2;2;2;3;4;2;3;3;4;4;2;3;63;55;74;25;449;7;0;0;35-44;2;Nie;B;D
5;4;4;5;3;5;4;5;4;4;2;5;4;4;5;3;5;1;5;5;4;4;4;5;69;74;68;70;574;4;0;1;25-34;1;Nie;B;D
5;3;4;4;2;5;4;4;3;5;2;1;1;1;1;2;4;4;3;4;4;4;1;4;49;45;52;33;388;3;1;0;25-34;1;Nie;A;C
5;4;4;4;4;4;4;4;4;4;4;3;3;4;3;4;4;3;4;4;4;4;3;4;38;27;39;17;285;14;1;0;35-44;2;Nie;A;D
5;5;5;5;5;5;5;5;5;5;5;4;3;4;2;5;5;4;5;5;5;5;4;5;78;62;48;39;546;13;0;0;35-44;2;Nie;A;D
2;1;4;2;4;4;4;4;4;3;3;1;4;3;1;2;4;1;4;2;2;4;3;2;53;48;46;43;479;26;1;1;45-54;1;Nie;A;A
5;5;5;5;5;5;5;5;5;4;2;2;4;3;2;5;5;1;5;4;5;5;2;5;64;45;46;45;440;24;0;1;55-64;1;Tak;A;D
5;5;5;4;4;5;5;5;5;5;1;4;5;5;4;4;4;1;5;5;5;5;4;4;63;37;46;25;387;21;1;1;45-54;1;Nie;A;C
4;4;4;5;5;4;4;5;4;4;1;1;2;4;2;2;5;1;5;5;4;4;2;5;81;89;72;81;671;39;1;1;55-64;1;Nie;A;C
4;4;4;4;4;4;4;4;4;4;3;4;4;4;1;2;3;2;2;1;4;4;4;2;54;30;34;16;300;2;1;1;25-34;2;Tak;C;C
5;5;5;5;5;4;4;5;5;4;3;5;5;5;5;5;5;2;5;4;5;4;5;5;53;27;36;15;356;17;1;0;35-44;2;Tak;A;C
4;4;3;4;4;4;4;4;4;4;3;2;2;2;2;3;4;3;2;2;4;4;2;3;45;33;41;13;264;21;0;0;45-54;1;Tak;A;B
5;4;4;5;5;5;5;5;5;5;5;3;4;4;3;5;5;4;4;4;5;5;4;4;82;44;53;24;425;24;1;0;45-54;1;Nie;A;B
5;5;5;4;4;4;4;5;4;4;2;2;4;2;2;5;5;4;5;3;5;4;2;5;66;37;40;28;360;35;0;1;55-64;1;Nie;A;C
4;4;4;4;5;5;5;5;5;5;3;4;5;5;5;5;5;3;4;4;4;5;5;4;69;41;59;43;446;9;1;0;35-44;2;Nie;A;D
5;4;4;4;4;3;4;4;3;4;3;3;3;4;2;2;2;4;4;4;4;4;3;4;65;54;58;56;473;20;0;1;45-54;1;Tak;A;C
4;4;4;4;5;5;5;5;5;5;1;4;4;4;4;4;4;1;4;3;4;5;4;4;83;51;55;47;427;13;0;0;35-44;2;Nie;C;D
4;4;4;5;4;4;4;5;5;4;3;3;4;3;3;4;4;4;3;3;4;4;3;4;108;60;77;36;500;31;1;0;55-64;2;Nie;C;C
4;4;4;4;4;4;4;4;4;3;3;3;3;3;3;1;4;3;2;2;4;4;3;2;98;72;113;66;734;27;1;0;45-54;1;Nie;B;D
4;4;4;4;3;4;2;4;3;2;3;4;4;3;4;4;4;2;4;3;4;3;4;4;79;47;74;48;483;35;1;0;55-64;1;Tak;B;C
5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;4;4;4;5;5;5;5;5;4;42;26;24;15;259;16;1;0;35-44;2;Nie;C;C
4;4;4;5;5;4;5;5;5;4;4;4;4;4;4;4;4;4;5;5;4;5;4;4;62;57;44;27;419;22;1;0;45-54;1;Nie;B;D
4;4;4;3;4;4;5;5;3;4;2;2;4;3;3;3;4;2;4;4;4;4;3;4;70;54;43;58;491;24;1;1;45-54;2;Nie;C;C
4;3;4;4;3;5;5;5;4;5;4;1;4;3;1;2;4;4;1;1;4;5;3;2;62;35;48;23;392;20;0;1;45-54;2;Nie;A;D
4;4;4;4;4;2;4;4;3;4;5;4;4;4;4;4;4;5;3;4;4;4;4;4;75;30;48;20;338;20;1;1;45-54;1;Tak;B;C
5;4;4;5;5;5;5;5;5;5;1;4;4;5;5;4;4;1;4;4;5;5;4;4;59;30;52;21;397;13;1;1;55-64;2;Nie;B;C
2;2;5;5;5;5;5;5;5;5;4;5;5;5;5;5;5;4;5;3;5;5;5;5;49;36;36;14;303;13;0;0;35-44;2;Nie;B;A
4;4;2;4;4;5;5;5;4;4;5;4;4;4;4;4;4;5;4;5;4;5;4;4;91;58;66;62;540;10;0;1;35-44;1;Nie;C;C
5;4;5;4;4;5;5;5;5;5;2;2;3;3;4;4;4;1;2;2;4;5;3;2;76;58;61;57;539;5;0;1;25-34;2;Nie;A;A
4;4;2;4;4;4;4;4;4;4;2;2;3;3;3;4;4;3;5;4;4;4;3;4;61;43;34;55;426;12;0;1;35-44;2;Nie;C;A
5;5;5;5;4;5;5;5;4;4;5;4;5;4;4;5;5;5;4;4;5;5;4;5;78;53;33;49;420;3;1;1;35-44;1;Nie;C;C
5;4;5;5;5;4;5;4;4;3;4;3;5;5;5;3;4;5;4;4;5;4;5;4;51;30;37;16;270;41;0;0;65+;1;Nie;C;C
2;4;2;3;4;4;4;4;4;4;3;2;4;3;2;2;4;4;2;3;3;4;3;3;78;43;37;37;389;20;0;1;35-44;1;Nie;A;C
5;5;5;5;5;5;5;5;5;4;5;3;5;4;4;5;5;4;5;5;5;5;4;5;88;47;59;36;422;20;1;1;45-54;1;Nie;C;A
3;3;4;3;3;4;4;4;3;3;3;3;3;3;3;3;4;3;2;2;3;4;3;3;38;27;27;14;235;19;0;0;35-44;2;Nie;C;D
1;1;4;4;2;2;4;5;3;4;4;1;1;3;1;1;2;2;3;4;2;4;1;2;89;77;93;84;720;31;1;1;45-54;2;Nie;A;D
